state_name;district_name;Total No. of JobCards issued;Total No. of Workers;Total No. of Active Job Cards;Total No. of Active Workers;SC workers against active workers;ST workers against active workers;Approved Labour Budget;Persondays of Central Liability so far;SC persondays;ST persondays;Women Persondays;Average days of employment provided per Household;Average Wage rate per day per person(Rs.);Total No of HHs completed 100 Days of Wage Employment;Total Households Worked;Total Individuals Worked;Differently abled persons worked;Number of GPs with NIL exp;Total No. of Works Takenup (New+Spill Over);Number of Ongoing Works;Number of Completed Works;% of NRM Expenditure(Public + Individual);% of Category B Works;% of Expenditure on Agriculture & Agriculture Allied Works;Total Exp(Rs. in Lakhs.);Wages(Rs. In Lakhs);Material and skilled Wages(Rs. In Lakhs);Total Adm Expenditure (Rs. in Lakhs.)
MADHYA PRADESH;BALAGHAT;313923;685120;280725;621796;29871;135851;11104617;5325390;258054;1654445;3091024;30;219.1479554;1288;174262;266172;6290;0;43652;22652;21000;44.63;74;25.11;15845.18014;11670.4833;3493.326617;681.37022
MADHYA PRADESH;SHEOPUR;140843;241464;90857;158730;21864;37221;2280110;2012057;265704;415921;773690;40;218.8935359;149;50231;70006;277;0;24697;17809;6888;33.64;75;14.78;10851.73567;4404.262712;6270.692684;176.78027
MADHYA PRADESH;UMARIA;108211;197287;95425;177994;14038;94404;2543963;1199814;85514;699920;607333;27;200.3386075;182;43721;63376;503;4;14470;9952;4518;69.27;68;14.16;3903.788675;2403.690661;1346.843475;153.25454
MADHYA PRADESH;NEEMUCH;87569;191359;50443;111587;14116;10922;1356301;863068;79642;68684;286238;37;218.2022256;107;22885;32525;252;0;11908;9121;2787;22.34;67;16.29;2859.301462;1883.233585;842.404098;133.66378
MADHYA PRADESH;BARWANI;207956;481382;153529;371758;42957;277543;2986297;1323362;123717;1008287;564435;25;193.3026;177;52574;90873;444;1;35447;25508;9939;52.73;85;15.96;3789.27187;2558.093153;983.9000067;247.27871
MADHYA PRADESH;HARDA;51163;117535;35095;82240;20964;34950;878468;309702;82430;112030;131740;25;222.8412228;18;12319;20032;103;1;6542;4846;1696;24.3;62;20.62;1228.263735;690.1437238;423.6299011;114.49011
MADHYA PRADESH;KATNI;172726;374186;149889;329262;52354;94680;4441304;1960160;307163;627395;1071366;27;188.0617254;126;71763;105447;487;0;16955;10867;6088;50.58;65;17.52;5221.814543;3686.310717;1252.463866;283.03996
MADHYA PRADESH;DINDORI;201715;385182;194314;374424;14718;192937;9389502;4831907;172592;2665961;2452973;31;199.7660814;674;152463;227913;1663;0;33030;20490;12540;66.03;66;20.13;15408.8365;9652.51127;5532.571663;223.75357
MADHYA PRADESH;ANUPPUR;152866;312121;132323;275559;26858;152646;4226423;1993036;184513;1134509;993825;29;196.1226584;236;67357;101015;1670;0;16811;11967;4844;33.41;70;29.51;7724.869929;3908.795187;3656.178752;159.89599
MADHYA PRADESH;BURHANPUR;87700;218018;57705;153485;30294;58375;1659102;613136;111781;281679;285639;29;219.7065668;220;20571;37792;321;0;11225;7724;3501;55.88;77;14.0;2233.761646;1347.100056;797.3171598;89.34443
MADHYA PRADESH;ASHOK NAGAR;242608;536035;88990;165810;34837;13858;2453585;1693286;318487;104733;558995;45;220.9291304;240;36970;54340;328;4;15742;12655;3087;50.9;75;29.53;5280.364481;3740.962036;1338.095486;201.30696
MADHYA PRADESH;ALIRAJPUR;135373;316891;111103;272109;42706;216112;3027170;1548097;213911;1244452;595147;33;203.4156517;511;46570;79353;1297;0;25541;15559;9982;54.8;72;21.69;5041.315056;3149.071602;1706.884544;185.35891
MADHYA PRADESH;SINGRAULI;164062;294195;124757;229334;39151;73340;3981814;2221009;330011;664829;890328;34;220.77703;270;63525;97102;852;0;36451;22668;13783;58.14;85;17.31;7221.293539;4903.477705;2131.951134;185.8647
MADHYA PRADESH;AGAR-MALWA;103044;210818;59660;129506;34310;4529;1925671;878582;204305;22616;337005;34;221.4574569;66;25175;38926;297;2;15042;10837;4205;38.39;79;37.18;3463.391949;1945.685354;1346.243035;171.46356
MADHYA PRADESH;NIWARI;46989;84449;39715;72066;8761;9136;1493510;599295;69336;57819;230902;33;214.7521911;32;17651;27780;153;0;10549;8234;2315;49.17;68;33.89;3497.382356;1286.999143;2134.449313;75.9339
MAHARASHTRA;THANE;129795;313065;26767;85962;2999;33320;362695;167312;8903;61953;71938;21;292.7968311;86;7874;13663;26;10;11594;9643;1951;5.94;93;49.22;618.411077;489.8842341;128.2676529;0.25919
MAHARASHTRA;RAIGAD;168464;312395;25747;59936;2898;12819;315137;114703;3547;24643;51491;18;311.8407801;46;6216;10631;23;132;15468;14690;778;7.14;56;50.18;443.0773841;357.69073;85.38665412;0.0
MAHARASHTRA;RATNAGIRI;248577;465109;57385;133128;8725;1207;671140;238313;14036;1989;102711;16;308.1392035;58;14398;21739;118;46;31783;27673;4110;0.07;95;73.43;1191.726516;734.33578;402.0527356;55.338
MAHARASHTRA;SINDHUDURG;126000;237598;39210;90248;3963;326;346847;171385;6319;500;70041;17;294.7688778;63;9808;16173;92;13;21208;19527;1681;5.49;68;69.6;684.0895708;505.1896413;153.5787095;25.32122
MAHARASHTRA;NASHIK;654330;1412275;171471;489938;11028;206449;2461966;1150004;26073;387151;430420;25;294.5456315;1031;45651;75501;338;56;52879;47300;5579;18.62;79;34.44;4962.383208;3387.286544;1561.240374;13.85629
MAHARASHTRA;DHULE;415257;885955;84363;234707;15049;75501;966072;603169;39249;137392;245802;23;294.4514294;497;25364;41952;55;16;27457;24756;2701;0.89;88;23.42;2180.734186;1776.039742;383.2969242;21.39752
MAHARASHTRA;JALGAON;631741;1208991;126030;313177;31294;36081;2171189;771696;64734;73241;311380;22;287.4423571;493;34687;52234;80;67;43677;38935;4742;1.42;93;44.69;2894.387981;2218.181172;565.7549789;110.45183
MAHARASHTRA;AHMEDNAGAR;754734;1864673;143212;408247;33676;25022;1583575;1008413;77226;50036;426030;24;308.971201;1209;40398;64193;78;44;44340;35500;8840;0.9;85;63.61;4368.748216;3115.705758;1238.162248;14.88021
MAHARASHTRA;PUNE;360089;776168;51381;136424;10186;19094;612902;175375;12525;24813;77520;21;323.9140408;78;8269;13596;46;235;25170;22657;2513;0.23;92;62.04;993.6712248;568.064249;413.8369058;11.77007
MAHARASHTRA;SATARA;391726;737640;60370;134405;10853;800;746335;329267;20761;1607;146231;22;305.7022993;334;14532;22043;105;313;16546;13631;2915;2.02;87;49.16;1417.087664;1006.57679;379.6374645;30.87341
MAHARASHTRA;SANGLI;303393;532229;43840;93686;8137;233;581025;212642;17572;429;80463;24;285.8940097;122;8576;12520;16;79;16299;15262;1037;0.07;85;45.45;981.3189395;607.93074;366.0949295;7.29327
MAHARASHTRA;SOLAPUR;519111;894543;62628;146594;13798;2208;763835;290387;22192;2390;109773;20;295.2175784;229;14335;23281;29;138;21266;19228;2038;0.04;95;69.31;1380.660819;857.2734695;455.1594493;68.2279
MAHARASHTRA;KOLHAPUR;341673;599053;40257;98031;17618;257;368737;193755;34934;404;85173;20;292.1456611;45;9405;16538;25;174;11483;10052;1431;0.0;92;33.06;842.3943214;566.0468257;231.2486957;45.0988
MAHARASHTRA;AURANGABAD;639860;1336934;157376;414085;23350;9404;3063040;2835995;101652;54389;1231471;32;300.6400289;4831;86051;145054;452;30;54156;52471;1685;0.4;94;73.09;11195.41305;8526.136188;2396.552158;272.7247
MAHARASHTRA;JALNA;436059;1008600;131002;361614;18357;2725;2389432;2345962;95740;16312;1042965;31;290.8585624;3026;74286;141263;283;26;42618;40366;2252;0.31;73;60.01;7957.921096;6823.431347;916.0358594;218.45389
MAHARASHTRA;PARBHANI;377750;748495;108858;253669;18179;2441;2628171;1603023;74114;8983;639925;28;302.6219192;1470;55709;89364;118;69;29097;28697;400;0.07;89;68.01;5570.135415;4851.098968;553.1839973;165.85245
MAHARASHTRA;BEED;592305;1241866;173006;430558;12002;1411;4199765;3568045;61957;6351;1567863;31;290.1315897;6742;111786;188761;183;151;45573;45077;496;7.62;79;66.25;13271.89701;10352.02568;2908.313552;11.55778
MAHARASHTRA;NANDED;629776;1431038;140640;381998;69334;31988;2598402;1809544;237058;136336;827303;28;285.1134746;1893;63004;99863;106;93;39183;37088;2095;1.06;87;58.43;6810.939824;5159.253774;1643.13007;8.55598
MAHARASHTRA;OSMANABAD;308682;680207;61378;164764;23557;935;1266627;698833;49927;3677;269504;31;291.6587518;794;22462;34240;89;84;20890;20110;780;0.44;80;60.53;3070.209592;2038.207605;1010.016577;21.98541
MAHARASHTRA;LATUR;354506;768114;99543;256277;51217;3444;2033429;2107372;284690;25661;937508;37;302.5601175;4342;56147;92253;146;15;24941;21862;3079;0.74;87;65.33;8504.436409;6376.0672;1882.659149;245.71006
MAHARASHTRA;BULDHANA;464400;969313;100084;242236;29965;6829;1210747;620651;82347;14896;218733;16;299.0978505;41;38612;55166;77;26;24754;20753;4001;0.88;93;35.95;2760.210084;1856.3538;826.6545937;77.20169
MAHARASHTRA;AKOLA;270640;529337;75770;173958;31895;8293;923923;468726;89710;21454;171638;18;287.4302903;263;25362;35993;1364;9;19229;16070;3159;0.69;89;22.79;1581.798845;1347.260503;171.0258624;63.51248
MAHARASHTRA;AMRAVATI;455198;1018353;177475;495022;51666;134142;7436037;3272803;389600;1335694;1546222;43;305.9207519;9673;76011;139121;721;8;46822;34805;12017;20.41;77;25.41;14564.54627;10012.18354;4469.192096;83.17063
MAHARASHTRA;YAVATMAL;650482;1342092;174082;407546;37305;64606;2820338;2329626;177143;323712;985921;28;283.5423067;1750;80361;118071;328;28;42429;34402;8027;8.62;91;51.18;8389.153552;6605.475299;1521.655013;262.02324
MAHARASHTRA;WARDHA;202573;379180;46500;114000;15619;12548;842513;491369;60376;46245;192070;30;300.8969514;599;15928;25916;117;20;11855;9972;1883;0.14;89;61.98;2108.733877;1478.514341;621.0817561;9.13778
MAHARASHTRA;NAGPUR;263429;512967;97043;223941;32828;28316;2055576;675941;94579;86335;284744;26;278.1057823;593;25712;36871;204;49;18799;15624;3175;3.38;83;49.9;2880.453578;1879.831006;881.1125816;119.50999
MAHARASHTRA;BHANDARA;281824;625366;190613;462373;62520;34348;3749838;2725031;344803;213327;1712591;23;183.6775369;623;115778;187749;4740;8;25846;17164;8682;28.94;85;23.09;6724.58411;5005.269821;1631.33829;87.976
MAHARASHTRA;CHANDRAPUR;366456;890277;169036;488064;65179;105390;3757986;2490690;283070;631382;1345264;30;239.7641629;1669;82872;145290;483;12;33392;25963;7429;18.24;80;26.45;8296.895929;5971.782029;2240.65967;84.45423
MAHARASHTRA;GADCHIROLI;225926;596902;131730;391731;40736;169249;2754089;1370612;147056;567196;687491;25;270.4436553;724;54645;96143;272;10;16113;10316;5797;25.25;83;27.22;6021.517503;3706.733192;2233.429061;81.35525
MAHARASHTRA;NANDURBAR;508982;1045507;157506;380764;11501;325920;1834392;769167;24753;615163;326361;20;284.5181223;445;37566;55609;62;50;50851;46874;3977;6.75;79;24.96;3112.252042;2188.419506;753.2196964;170.61284
MAHARASHTRA;WASHIM;256093;512189;54974;131385;15424;4976;848608;454307;46470;16116;176906;18;295.1857924;49;25139;37528;125;20;16562;15329;1233;19.93;85;40.96;1687.779596;1341.049718;266.0547578;80.67512
MAHARASHTRA;GONDIA;342062;817439;233211;603510;52267;89552;5692334;3231752;304149;634446;2083288;25;210.2001535;1203;125697;196623;279;13;40477;29142;11335;12.31;85;22.02;12150.68133;6793.147664;5287.097072;70.43659
MAHARASHTRA;HINGOLI;254727;575717;84542;221809;42461;40978;1594931;1347188;196707;211198;562979;33;287.6403506;1745;40420;64993;71;32;19566;17954;1612;0.43;88;74.87;4914.133787;3875.056287;1039.0775;0.0
MAHARASHTRA;PALGHAR;290297;697084;123196;375798;1797;337043;4348367;2085764;8016;2010792;1228551;31;264.7803543;2768;66406;128092;642;22;40680;32718;7962;17.28;84;16.36;8334.896447;5522.69331;2740.773148;71.42999
MANIPUR;BISHNUPUR;54162;92022;51001;86037;12291;263;2168880;4964;1616;0;3235;6;995.1676068;0;726;733;7;0;1454;1454;0;74.4;0;23.21;1002.932338;49.40012;915.0881578;38.44406
MANIPUR;CHANDEL;20428;28645;20165;28298;16;28057;855248;10530;4;10394;5726;4;1693.240931;0;2142;2143;0;395;631;628;3;48.39;0;17.39;397.6156038;178.29827;202.3173338;17.0
MANIPUR;CHURACHANDPUR;55835;76134;53526;72302;96;70465;2322487;121307;65;120210;55308;6;229.0030996;0;17469;17494;12;326;2793;2780;13;4.04;0;45.24;299.31475;277.79679;18.21796;3.3
MANIPUR;IMPHAL EAST;115873;134310;110088;128008;362;1334;4784243;97919;438;1593;60861;7;2245.426028;0;12441;12674;34;0;3735;3735;0;83.06;0;16.88;4280.421752;2198.698712;2008.78645;72.93659
MANIPUR;IMPHAL WEST;68691;134097;66724;130655;6576;2401;2844240;142284;11959;1146;91099;7;573.5674496;0;18473;19053;23;0;2669;2630;39;88.74;1;7.98;1914.230527;816.09471;1092.965817;5.17
MANIPUR;JIRIBAM;10240;19214;9355;17870;2781;1421;416334;7803;0;210;3717;6;44.68012303;0;1234;1235;31;0;435;435;0;55.32;0;44.68;371.70375;3.48639;368.21736;0.0
MANIPUR;KAKCHING;33403;64992;30889;60886;4192;28;1561725;95865;4054;0;53760;23;750.5734001;0;4030;4663;151;0;936;933;3;87.67;0;1.33;1366.317094;719.53719;646.7799044;0.0
MANIPUR;KAMJONG;15287;19420;14335;18192;31;18112;659213;39013;24;38868;14715;8;1576.067388;0;4449;4459;19;4;655;655;0;11.87;0;32.87;779.5821092;614.87117;161.1859392;3.525
MANIPUR;KANGPOKPI;39157;85913;36871;81625;187;69645;1620931;0;0;0;0;0;0.0;0;0;0;0;383;2394;2394;0;0.0;0;8.22;306.0643774;189.15913;106.9350474;9.9702
MANIPUR;NONEY;9438;17870;9039;17289;1;16099;535124;59600;0;52743;22850;10;753.1591443;0;5914;5933;1;41;431;431;0;12.48;0;13.83;645.1025461;448.88285;159.1996961;37.02
MANIPUR;PHERZAWL;9111;14565;9099;14553;0;14391;335388;47735;0;46677;15317;7;109.5080968;0;6428;6506;2;36;388;360;28;17.15;0;75.74;52.27369;52.27369;0.0;0.0
MANIPUR;SENAPATI;41353;89153;37963;81549;45;78611;1729965;243764;75;242079;123538;10;575.417215;0;24135;24139;4;1;1636;1632;4;15.3;0;13.09;2026.280596;1402.66002;623.6205762;0.0
MANIPUR;TAMENGLONG;25866;45352;25562;44860;10;40541;923705;41216;20;37288;18907;6;4729.368619;0;5963;5964;2;1;1255;1252;3;38.63;0;23.27;2142.004956;1949.25657;175.353386;17.395
MANIPUR;TENGNOUPAL;15750;29979;14797;28289;209;25255;657447;105807;1206;98817;51249;17;197.8083775;0;6206;6227;15;82;518;518;0;37.59;0;27.54;336.8498181;209.29511;118.0634081;9.4913
MANIPUR;THOUBAL;52900;110073;50553;105810;68;124;1994500;62306;0;0;41986;11;1531.974352;0;5366;5640;11;0;1659;1659;0;95.06;0;1.77;1699.352623;954.51194;656.0356928;88.80499
MANIPUR;UKHRUL;39202;42607;38524;41900;65;41525;1590570;173113;481;170943;84912;6;395.8477122;0;25702;25855;39;11;899;894;5;42.28;0;21.7;870.546465;685.26385;184.482615;0.8
MEGHALAYA;EAST GARO HILLS;35975;68370;35330;67316;45;66387;2124092;878277;671;866996;414670;28;246.3884196;320;30639;47778;24;12;5785;3891;1894;11.96;45;54.65;5189.75807;2163.97282;2935.79203;89.99322
MEGHALAYA;East Jaintia Hills;35057;51260;30169;44235;2;44141;1110636;371828;0;370960;284053;23;249.143994;3;16057;16834;74;31;3443;3360;83;19.71;36;40.85;1743.42352;926.38713;780.46414;36.57225
MEGHALAYA;EAST KHASI HILLS;118447;170368;102756;148869;376;146200;4722983;758210;1736;747456;600548;24;268.4994632;42;31552;32480;337;128;9239;7950;1289;20.66;41;14.46;5840.818107;2035.78978;3477.699797;327.32853
MEGHALAYA;EASTERN WEST KHASI HILLS;19785;40101;17568;36341;0;36320;1219423;263570;0;263366;175748;29;240.6853473;45;8972;13042;61;25;1358;1335;23;4.98;38;21.48;1094.344736;634.37437;444.3020463;15.66832
MEGHALAYA;NORTH GARO HILLS;37486;87235;36597;85398;65;84148;2665527;814266;313;801990;367969;26;238.0113538;0;30685;32550;11;10;5841;5709;132;11.77;25;50.17;4415.883906;1938.04553;2435.852736;41.98564
MEGHALAYA;RI BHOI;64962;129425;55879;114650;566;110698;2234089;978840;4761;952171;535620;31;240.9195006;499;31105;48790;92;97;5552;5059;493;30.45;47;22.23;3645.471506;2358.21644;1130.928106;156.32696
MEGHALAYA;SOUTH GARO HILLS;46386;93450;41778;84800;403;81952;2596113;419493;3482;404388;227841;24;301.8886775;0;17439;17552;108;36;5972;5866;106;6.18;12;57.66;4356.008671;1266.40187;2975.939831;113.66697
MEGHALAYA;SOUTH WEST GARO HILLS;41504;85317;40415;83049;1452;65273;2246262;1082525;15101;831392;546954;31;241.9077121;188;34837;44873;198;10;7068;6533;535;20.28;15;33.98;6833.573622;2618.71146;4168.273272;46.58889
MEGHALAYA;SOUTH WEST KHASI HILLS;24898;47437;24041;46206;2;46165;1313370;217771;4;217503;120936;17;247.2007843;0;12288;15133;142;9;5453;4886;567;14.04;55;28.63;1426.18733;538.33162;845.01102;42.84469
MEGHALAYA;WEST GARO HILLS;125321;248232;116517;232705;4805;168540;6672148;1893132;29368;1610471;913646;25;316.2199831;0;75142;82022;133;42;17852;17310;542;11.08;19;46.61;11918.25337;5986.46169;5768.183297;163.60838
MEGHALAYA;WEST JAINTIA HILLS;60933;101814;53121;90005;198;89624;1399402;473533;1546;470681;368337;19;245.5517626;13;23701;26632;119;23;4489;4243;246;18.34;35;25.88;2515.906607;1162.768628;1268.388309;84.74967
MEGHALAYA;WEST KHASI HILLS;53911;111355;45822;95472;0;95349;1695955;611285;0;610342;381907;36;251.741659;142;16808;21055;89;131;6190;5735;455;11.39;49;21.43;2865.350094;1538.859;1238.357434;88.13366
MIZORAM;AIZAWL;35576;38590;25986;28381;0;27939;1712623;923223;0;907487;506274;35;292.6646401;0;26069;26155;16;0;1721;779;942;18.56;56;54.93;3548.38821;2701.94727;723.18574;123.2552
MIZORAM;CHAMPHAI;16657;17086;16649;17077;0;17069;1470552;585455;0;585258;253124;35;280.8202116;0;16643;17358;29;0;673;414;259;8.7;47;50.24;2313.10817;1644.07597;596.5592;72.473
MIZORAM;HNAHTHIAL;6726;6837;6723;6834;2;6786;561848;225033;0;223404;96579;35;332.5164931;0;6420;6685;2;0;478;145;333;3.64;41;86.4;1278.165487;748.27184;508.0176472;21.876
MIZORAM;KHAWZAWL;10223;10397;10190;10364;0;10363;721507;347316;0;347282;151422;33;324.3840163;0;10316;10478;2;0;501;102;399;17.22;57;63.71;1658.07059;1126.63759;495.661;35.772
MIZORAM;KOLASIB;21029;21811;20954;21729;9;21624;1632878;1014839;449;1009776;617573;48;304.1389097;0;20941;21276;2;0;1258;478;780;5.82;62;81.21;3424.475104;3086.52027;267.921334;70.0335
MIZORAM;LAWNGTLAI;38088;39912;37299;37975;6;37355;3009644;1200760;198;1180642;594765;32;303.6034362;0;37301;37509;1;0;2029;852;1177;4.29;67;64.33;4987.691693;3645.54862;1202.690073;139.453
MIZORAM;LUNGLEI;34025;34503;33648;34124;3;33913;2760952;1537757;142;1529349;611235;46;285.424333;0;33210;33435;10;0;1965;1520;445;1.3;45;79.94;5216.199134;4389.13266;716.5247144;110.54176
MIZORAM;MAMIT;22473;23820;22384;23730;1;23710;1829148;1033609;49;1032768;479628;45;313.2226142;0;22518;22672;3;0;1858;664;1194;16.0;71;79.77;4528.957257;3237.49713;1187.469127;103.991
MIZORAM;SAIHA;18226;21026;18140;20938;25;20512;1465450;681385;876;665983;353303;37;328.3641289;0;18105;18768;35;0;1612;582;1030;9.04;63;60.0;2655.511861;2237.42392;321.0519408;97.036
MIZORAM;SAITUAL;8039;8061;8024;8046;0;8019;985130;266082;0;265198;119610;33;295.1423696;0;8012;8065;39;0;282;149;133;16.29;50;60.31;1017.19439;785.32072;183.16867;48.705
MIZORAM;SERCHHIP;15932;22352;15888;22306;6;22149;1350268;632328;163;627502;341841;39;319.1008179;0;15918;16066;20;0;843;672;171;14.26;29;68.04;2284.043199;2017.76382;191.536289;74.74309
NAGALAND;DIMAPUR;75915;149935;74024;146873;0;136005;2306060;2301395;0;2142970;1075557;36;240.0450757;0;62730;72917;128;1;2134;1940;194;6.07;2;41.87;7283.042142;5524.38537;1710.384772;48.272
NAGALAND;KIPHIRE;25806;40008;24765;38865;0;38864;840480;799000;0;798985;374445;36;230.9534894;0;22141;24370;11;1;860;851;9;17.54;0;47.58;2009.132288;1845.31838;152.6439081;11.17
NAGALAND;KOHIMA;53650;83519;52838;82439;0;82439;1764117;1769667;0;1769667;785471;40;240.6364762;5;44216;50970;7;4;939;881;58;8.26;6;57.32;5903.487161;4258.46431;1604.124751;40.8981
NAGALAND;LONGLENG;21700;41679;21492;41303;0;41303;691578;691578;0;691578;279190;34;270.6477881;0;20105;22167;5;2;427;419;8;30.38;0;36.84;3420.978694;1871.74056;1528.072134;21.166
NAGALAND;MOKOKCHUNG;35676;54243;34998;53301;0;53301;1193811;1197160;0;1197160;541192;36;215.1076681;0;32853;35229;14;1;684;651;33;11.07;1;65.41;3263.42524;2575.18296;638.5912801;49.651
NAGALAND;MON;56133;63392;55844;63103;0;63098;1790051;1770521;0;1770346;802703;33;224.5171404;0;52867;54488;25;1;864;808;56;0.5;2;99.43;4748.68794;3975.12312;738.63682;34.928
NAGALAND;PEREN;34230;57256;33197;55810;0;55809;1124152;1124152;0;1124126;503669;43;223.9115636;1;26023;39109;20;1;592;548;44;1.33;0;54.8;5640.335414;2517.10632;3109.248094;13.981
NAGALAND;PHEK;38700;66339;37972;65247;0;65246;1234038;1328948;0;1328920;615281;39;226.7924554;0;34028;36464;119;1;1494;1308;186;10.95;1;65.51;3731.68358;3013.9538;682.2364803;35.4933
NAGALAND;TUENSANG;51056;94029;47722;88848;0;88848;1670991;1643404;0;1643404;666451;38;223.759913;0;42568;49826;14;1;1309;1211;98;3.39;0;49.86;4457.310619;3677.27936;752.454059;27.5772
NAGALAND;WOKHA;37445;43603;36424;42490;0;42381;1178136;1162353;0;1159537;489587;36;249.9214545;0;32132;32233;4;0;1248;1173;75;2.91;2;77.08;3648.95888;2904.969524;703.8827561;40.1066
NAGALAND;ZUNHEBOTO;38009;81238;33700;76018;0;76018;1206586;1204565;0;1204565;584577;36;223.8501036;10;33358;35277;8;1;960;887;73;23.0;8;61.23;3567.538173;2696.42;841.7621731;29.356
ODISHA;SAMBALPUR;130390;236272;96187;177188;27087;87850;2895591;1419558;201219;734416;656352;32;241.0901182;513;44136;65985;111;0;23121;19856;3265;41.11;57;30.57;4074.179997;3422.41406;538.5363873;113.22955
ODISHA;SUNDARGARH;246957;412074;227929;381885;33640;264445;10728970;5954876;513418;4106798;2912092;40;195.1287107;4783;145684;199375;552;0;59509;53460;6049;34.79;73;38.02;12726.14905;11619.67276;860.6648894;245.8114
ODISHA;KENDUJHAR;312332;572550;259660;496995;51741;237116;8732723;4981307;466547;2430246;2550631;36;238.3544221;2237;135974;204646;455;0;38991;35034;3957;22.66;69;52.25;12920.65824;11873.16551;790.201068;257.29166
ODISHA;MAYURBHANJ;426651;730805;348862;620091;63039;339753;15045015;7165245;680313;3818565;3646918;38;238.4506663;2757;187939;261517;374;0;75504;67311;8193;13.24;66;67.23;19643.5943;17085.57445;2140.372025;417.64783
ODISHA;BALESHWAR;254373;422203;164027;289793;47675;22607;2569846;1393256;211856;97166;622570;27;244.964539;319;51277;71213;189;0;31571;29980;1591;24.51;54;46.88;4082.838175;3412.983138;477.9430071;191.91203
ODISHA;CUTTACK;203824;384317;137340;276209;56092;13138;2007507;1477395;262488;72132;619080;29;241.1835825;363;49529;79340;221;0;19366;16322;3044;30.26;52;48.67;4311.124232;3563.234188;538.6440137;209.24603
ODISHA;DHENKANAL;203250;374612;167901;316113;60006;45145;4623961;3231105;531040;411833;1573554;39;227.3853951;2026;82032;121788;210;0;33910;32106;1804;31.49;68;35.0;8310.0224;7347.060871;821.9538094;141.00772
ODISHA;KANDHAMAL;159444;284891;146821;263032;57028;147283;7838677;5234582;1142099;2936498;2639877;45;226.198949;7235;113973;180342;3360;0;35114;32411;2703;42.56;43;37.22;13579.38076;11840.56947;1513.729257;225.08203
ODISHA;BOLANGIR;278003;524884;233654;453766;71252;106275;8725813;5361748;792059;1297022;2587782;41;313.4592511;9482;128346;224030;517;0;52110;47482;4628;56.02;65;35.98;18505.15902;16806.89512;1410.909574;287.35432
ODISHA;KALAHANDI;267924;488677;219076;412074;70803;132398;6913961;4995735;910379;1742397;2510906;39;323.4635368;8296;127025;210116;351;0;42447;36483;5964;50.13;29;28.26;21832.70941;16159.38112;5437.116606;236.21168
ODISHA;KORAPUT;254297;398552;216772;348870;46607;197885;9279893;4968746;653923;2698822;2314678;40;234.338773;3201;122312;163958;557;0;42127;36976;5151;19.14;44;50.52;15296.42049;11643.69841;3416.879557;235.84252
ODISHA;GANJAM;467693;711658;432457;666145;117796;33184;20526071;11374065;1726051;546554;6694233;45;232.1151742;10953;247410;300224;506;0;66429;54060;12369;49.58;46;30.97;29189.93008;26400.93079;2215.9527;573.04659
ODISHA;PURI;188824;369326;124532;265645;41124;1090;1669204;1384709;177273;4573;584468;27;243.3040699;493;50572;85605;135;0;24813;22591;2222;34.28;78;37.91;3969.204262;3369.053353;393.6666198;206.48429
ODISHA;BARGARH;189803;350846;143047;279884;51223;65680;4094382;2173564;369592;558787;943256;37;317.7304941;3167;57533;96541;187;0;22994;18742;4252;46.86;55;44.66;7484.700721;6906.075636;289.8806651;288.74442
ODISHA;JHARSUGUDA;63075;119055;50196;99296;20462;43580;1569269;882903;187835;392941;421851;38;239.6160714;831;22796;34970;69;0;8778;8017;761;32.42;49;45.15;2514.485807;2115.577483;319.1612433;79.74708
ODISHA;DEOGARH;65760;122967;53604;103213;15411;34771;1438387;920454;116100;296379;474195;36;247.8342913;368;25314;39271;182;0;6846;6383;463;39.0;33;39.5;2990.95976;2281.200648;612.7628526;96.99626
ODISHA;BHADRAK;194475;288411;137211;211550;29980;1652;1955636;2379560;321882;12915;1068444;33;244.4128755;454;71521;98214;182;0;19334;17210;2124;20.87;45;51.82;7370.798157;5815.95102;1459.345417;95.50172
ODISHA;KENDRAPARA;200293;345995;146196;267427;52527;1657;1966232;1415159;275396;8331;565684;27;241.0480542;231;51531;74623;240;2;20229;19894;335;20.49;22;71.22;3967.467326;3411.213233;459.6907227;96.56337
ODISHA;JAGATSINGHAPUR;126497;216501;91860;166001;29972;690;1114013;1563005;236082;7891;674144;34;246.425255;272;45320;73622;140;0;10388;9684;704;22.32;37;62.43;4321.562836;3851.639056;391.5828696;78.34091
ODISHA;JAJPUR;204998;321981;143943;240109;51088;15378;1880146;2096898;412900;102886;883776;32;235.6761341;886;64331;93619;233;0;28488;26996;1492;21.13;57;56.66;5907.301536;4941.888142;818.3726639;147.04073
ODISHA;ANGUL;169931;305238;142135;262299;35719;36755;3575154;2520868;288857;327095;1278955;41;236.5272019;1379;60929;89051;186;2;22187;20404;1783;25.28;45;54.05;6609.159871;5962.538545;531.1824658;115.43886
ODISHA;NAYAGARH;167236;342772;115963;248177;26156;17109;2451310;1881993;166159;101567;853339;34;245.7925907;361;54802;87563;127;0;18553;17738;815;34.34;56;38.93;5735.941474;4625.799351;967.6037732;142.53835
ODISHA;KHORDHA;118167;225666;79042;160219;21876;11869;1457825;1073113;135667;50803;461435;34;244.9278205;592;30989;47009;126;0;11872;10324;1548;33.01;45;47.09;3237.004601;2628.352282;509.5943091;99.05801
